,0,1,2,3,4,5,6,7,8,9,10,11
0,*,,,,,,,,,,,
1,*,,,,,,,,,,,
2,*,,,,,,,,,,,
3,*,,,,,,,,,,,
4,*,,,,,,,,,,,
5,*,,,,,,,,,,,
6,*,,,,,,,,,,,
7,*,,,,,,,,,,,
8,*,,,,,,,,,,,
9,*,,,,,,,,,,,
10,*,,,,,,,,,,,
11,*,,,,,,,,,,,
12,*,*,*,*,*,*,*,*,*,,,
13,*,*,*,*,*,*,*,*,*,*,*,*
14,*,*,*,*,*,*,*,*,*,,,
15,*,*,*,*,*,*,*,*,*,*,*,*
16,*,*,*,*,*,*,*,*,*,,,
17,2023-07-30 15:59:01.821870,1690703941822,1,11,空间信息（下）,非一致刺激,没有按下,1700,鼠标事件,,,
18,2023-07-30 15:59:07.824927,1690703947825,3,11,中央位置,中性,没有按下,1700,鼠标事件,,,
19,2023-07-30 15:59:11.409602,1690703951410,4,11,空间信息（下）,一致刺激,没有按下,1700,鼠标事件,,,
20,2023-07-30 15:59:14.222596,1690703954223,5,11,中央位置,中性,没有按下,1700,鼠标事件,,,
21,2023-07-30 15:59:17.114544,1690703957115,6,11,中央位置,非一致刺激,没有按下,1700,鼠标事件,,,
22,2023-07-30 15:59:20.208542,1690703960209,7,11,双提示,中性,没有按下,1700,鼠标事件,,,
23,2023-07-30 16:00:03.610214,1690704003610,20,11,空间信息（下）,中性,没有按下,1700,鼠标事件,,,
24,*,*,*,*,*,*,*,*,*,*,*,*
25,*,*,*,*,*,*,*,*,*,,,
26,2023-07-30 16:03:53.483216,1690704233483,7,11,空间信息（下）,一致刺激,没有按下,1700,鼠标事件,,,
27,2023-07-30 16:03:56.780527,1690704236781,8,11,双提示,一致刺激,没有按下,1700,鼠标事件,,,
28,2023-07-30 16:03:59.598630,1690704239599,9,11,无cue,一致刺激,没有按下,1700,鼠标事件,,,
29,*,*,*,*,*,*,*,*,*,*,*,*
30,*,*,*,*,*,*,*,*,*,,,
31,SART,2023-07-30 16:05:23.716701,1690704323717,2,1,1,未按下,0,0,1.1768105030059814,,
32,SART,2023-07-30 16:05:25.827050,1690704325827,4,4,4,未按下,0,0,1.1908824443817139,,
33,SART,2023-07-30 16:05:27.977389,1690704327977,6,4,8,未按下,0,0,1.2130944728851318,,
34,SART,2023-07-30 16:05:30.124912,1690704330125,8,2,2,未按下,0,0,1.1999576091766357,,
35,SART,2023-07-30 16:05:32.256629,1690704332257,10,4,9,未按下,0,0,1.218552827835083,,
36,SART,2023-07-30 16:05:34.411897,1690704334412,12,5,3,未按下,0,0,1.197749137878418,,
37,SART,2023-07-30 16:05:35.592746,1690704335593,13,1,7,未按下,0,0,1.1778483390808105,,
38,SART,2023-07-30 16:05:37.713895,1690704337714,15,4,9,未按下,0,0,1.2023026943206787,,
39,*,*,*,*,*,*,*,*,*,,,
